,city name,temp,wind speed,country,cloudiness,humidity,longitude,latitiude,date
121,Trofors,44.6,18.34,NO,75,93,13.39,65.54,1578284265
122,Codrington,91.4,10.29,AU,75,48,153.24,-28.95,1578283514
123,Eyl,78.91,12.41,SO,39,82,49.82,7.98,1578283767
124,Jacareacanga,72.64,2.39,BR,100,98,-57.76,-6.22,1578283817
125,Andros Town,68.0,16.11,BS,75,60,-77.79,24.73,1578284266
126,Tiksi,-12.57,13.6,RU,3,86,128.87,71.64,1578283696
127,Atambua,80.01,6.73,ID,100,79,124.89,-9.11,1578284266
128,Marawi,82.0,7.0,PH,7,78,124.29,8.0,1578283719
129,Isangel,87.8,11.41,VU,40,52,169.27,-19.55,1578284267
130,Norman Wells,-36.4,4.14,CA,5,73,-126.83,65.28,1578284267
131,Kibala,64.4,6.93,TD,0,63,18.35,9.11,1578284268
132,Yellowknife,-18.0,8.05,CA,5,75,-114.38,62.45,1578284109
133,Rochegda,9.68,4.59,RU,0,94,43.41,62.67,1578284269
134,Saurimo,64.56,2.21,AO,100,98,20.4,-9.66,1578284269
135,Shumskiy,20.73,4.0,RU,100,86,99.13,54.83,1578284269
136,Mocuba,73.62,1.54,MZ,80,97,36.99,-16.84,1578284270
137,Port Keats,90.77,12.68,AU,100,58,129.55,-14.25,1578284270
138,Saint George,42.8,12.75,GR,75,38,22.34,39.45,1578284270
139,Pisco,69.8,14.99,PE,65,83,-76.2,-13.71,1578283884
140,Yichun,16.39,3.74,CN,100,77,128.88,47.72,1578284271
141,Hovd,46.0,18.34,NO,40,100,10.7,63.83,1578284271
142,Concordia,71.01,5.5,AR,0,75,-58.02,-31.4,1578284271
143,Lorengau,85.35,8.57,PG,68,69,147.27,-2.02,1578283576
144,Airai,81.5,4.97,TL,100,53,125.41,-8.93,1578283903
145,Bahia Blanca,68.54,1.61,AR,100,68,-62.27,-38.72,1578284116
146,Ponta do Sol,66.6,2.24,BR,2,96,-46.0,-20.63,1578284273
147,Longyearbyen,1.4,17.22,NO,20,59,15.63,78.22,1578284273
148,Ossora,8.15,5.5,RU,100,97,163.07,59.24,1578284273
149,Bosaso,77.88,5.57,SO,0,75,49.18,11.28,1578284273
150,Sembakung,85.15,3.53,ID,100,62,117.25,3.82,1578284274
151,Tabou,68.54,3.44,CI,0,82,-7.36,4.42,1578284274
152,Havre-Saint-Pierre,8.6,5.82,CA,1,71,-63.6,50.23,1578283516
153,Santiago,75.79,4.07,PH,51,77,121.54,16.69,1578283824
154,Cabo San Lucas,70.0,3.36,MX,90,82,-109.91,22.89,1578284275
155,College,-15.0,1.77,US,90,67,-147.8,64.86,1578283794
156,Letka,39.2,16.11,BA,20,35,17.27,43.74,1578284275
157,Lovozero,12.56,3.78,RU,100,67,35.02,68.01,1578284275
158,Uthal,65.88,5.28,PK,27,49,66.62,25.81,1578284275
159,Krasnokamensk,9.93,4.5,RU,100,87,118.04,50.1,1578284276
160,Dondo,78.8,3.36,MZ,40,88,34.74,-19.62,1578284276
161,Port Lincoln,68.05,10.22,AU,2,54,135.86,-34.72,1578284277
162,Buala,85.53,8.97,SB,47,70,159.59,-8.15,1578283823
163,Hofn,46.04,21.39,IS,100,95,-15.21,64.25,1578283923
164,Bereda,41.0,8.05,ES,0,100,-7.54,43.27,1578284278
165,Puerto Montt,50.0,3.36,CL,90,93,-72.94,-41.47,1578284278
166,Nsoko,73.13,2.13,ZA,100,95,31.93,-27.07,1578284278
167,Haines Junction,-3.01,4.85,CA,100,98,-137.51,60.75,1578284279
168,Taoudenni,50.68,5.79,ML,23,21,-3.98,22.68,1578283896
169,Wanning,30.99,2.24,AT,20,92,13.53,48.64,1578284279
170,Borovoy,6.91,7.58,RU,58,95,52.89,63.23,1578284279
171,Baherden,36.09,6.06,TM,57,69,57.43,38.44,1578284280
172,Dunedin,55.0,45.01,NZ,70,52,170.5,-45.87,1578284269
173,Arraial do Cabo,76.08,2.51,BR,100,86,-42.02,-22.97,1578284280
174,Lavrentiya,-11.22,4.18,RU,0,81,-170.99,65.58,1578284281
175,Khasan,25.75,2.59,RU,100,59,130.64,42.43,1578284282
176,Acajutla,66.99,1.01,SV,8,76,-89.83,13.59,1578284282
177,Praya,87.8,17.22,ID,40,70,116.27,-8.71,1578284282
178,Fort Nelson,-11.2,3.36,CA,75,76,-122.69,58.81,1578284282
179,Oyama,54.0,4.7,JP,40,31,139.8,36.31,1578284283
180,Freeport,67.32,15.79,BS,1,64,-78.7,26.54,1578284283
181,La Ronge,1.4,2.24,CA,90,77,-105.3,55.1,1578284283
182,Mapiri,66.96,0.22,BO,100,96,-68.22,-15.31,1578284284
183,Bambous Virieux,75.99,11.41,MU,75,100,57.76,-20.34,1578284284
184,Mar del Plata,56.43,23.22,AR,64,57,-67.52,-46.43,1578284284
185,Prince Rupert,39.2,5.82,CA,90,80,-130.32,54.32,1578284284
186,Camacha,62.6,13.87,PT,40,77,-16.33,33.08,1578283919
187,Maningrida,92.14,3.91,AU,100,53,134.23,-12.05,1578284285
188,Luderitz,62.92,20.76,NA,0,85,15.16,-26.65,1578283734
189,Passagem Franca,70.99,1.05,BR,90,96,-43.78,-6.18,1578284285
190,Bethanien,57.31,1.43,NA,0,59,17.16,-26.5,1578284285
191,Bandarbeyla,79.0,6.8,SO,94,77,50.81,9.49,1578283830
192,Sola,63.32,3.53,TZ,38,91,33.8,-3.17,1578283518
