,city name,temp,wind speed,country,cloudiness,humidity,longitude,latitiude,date
370,Sesheke,64.4,3.36,NA,90,100,24.29,-17.47,1578284333
371,Zalantun,9.14,3.8,CN,100,88,122.72,48.0,1578283795
372,Bitung,87.8,9.17,ID,40,66,125.19,1.44,1578284333
373,Gat,68.0,16.11,SN,0,34,-16.54,14.69,1578283774
374,Hun,42.8,4.7,BE,75,87,4.87,50.34,1578284334
375,Geraldton,17.6,3.36,CA,90,85,-86.95,49.72,1578283786
376,Marystown,31.03,49.48,CA,100,94,-55.16,47.17,1578284334
377,Lodja,67.3,1.54,CD,100,98,23.6,-3.52,1578284335
378,Lengshuitan,65.88,3.49,CN,66,72,111.6,26.41,1578284335
379,Alpena,30.2,8.05,US,90,86,-83.43,45.06,1578284335
380,Charkhi Dadri,56.57,2.77,IN,100,51,76.27,28.59,1578284335
381,Ponta Delgada,64.4,13.87,PT,40,93,-25.67,37.73,1578284335
382,Cap-Haitien,78.85,9.6,HT,2,66,-72.2,19.76,1578284240
383,Marsa Matruh,53.6,16.11,EG,40,66,27.25,31.35,1578284336
384,Mitchell,26.6,9.17,US,1,79,-98.03,43.71,1578283798
385,Luanda,78.8,4.7,AO,20,88,13.24,-8.83,1578284259
386,Hualmay,68.94,2.66,PE,60,77,-77.61,-11.1,1578284336
387,Inyonga,63.21,0.63,TZ,100,94,32.06,-6.72,1578284337
388,Aitape,80.58,13.47,PG,100,86,142.36,-3.15,1578284337
389,Southern Pines,41.0,5.82,US,1,69,-79.39,35.17,1578284337
390,Viedma,57.79,3.02,AR,95,93,-62.99,-40.81,1578283670
391,Sisimiut,-5.37,15.7,GL,100,96,-53.67,66.94,1578284338
392,Praia,71.6,1.12,BR,75,88,-43.81,-20.25,1578284338
393,Qinhuangdao,35.01,2.17,CN,83,85,119.59,39.94,1578283823
394,Anadyr,-31.0,6.71,RU,0,73,177.51,64.73,1578284339
395,Cedar City,30.2,3.36,US,1,68,-113.06,37.68,1578284339
396,Port Hedland,100.4,19.46,AU,75,29,118.58,-20.31,1578284339
397,Sakata,44.6,18.34,JP,75,52,139.93,38.92,1578284339
398,Akureyri,33.8,10.29,IS,90,86,-18.09,65.68,1578283810
399,Qujing,50.9,18.63,CN,100,88,103.8,25.49,1578284340
400,Paredon,57.69,2.21,BO,12,88,-65.16,-18.93,1578284340
401,Syracuse,32.0,4.7,US,90,86,-76.15,43.05,1578284340
402,Rio Grande,72.0,19.93,BR,31,90,-52.1,-32.03,1578284341
403,Tigzirt,40.06,3.71,DZ,0,87,4.2,36.57,1578284341
404,Noumea,86.0,14.99,NC,6,58,166.46,-22.28,1578284342
405,Springdale,41.0,4.7,US,1,59,-94.13,36.19,1578284115
406,Macheng,49.75,3.6,CN,100,95,115.03,31.18,1578284342
407,Savalou,73.62,1.03,BJ,56,26,1.98,7.93,1578284342
408,Calabozo,81.27,7.61,VE,80,55,-67.43,8.92,1578284342
409,Port Hardy,35.6,2.24,CA,75,93,-127.42,50.7,1578284121
410,Yumen,21.27,13.67,CN,100,54,97.04,40.29,1578284343
411,Richards Bay,78.66,14.92,ZA,67,89,32.06,-28.77,1578284343
412,Alyangula,87.8,9.17,AU,90,70,136.42,-13.85,1578284344
413,Bogorodskoye,5.94,5.17,RU,99,95,140.44,52.37,1578284344
414,Samarai,86.9,8.1,PG,19,65,150.67,-10.62,1578284344
415,Bone,42.01,6.93,DE,90,86,12.14,51.97,1578284344
416,Mumbwa,65.39,6.96,ZM,100,94,27.06,-14.99,1578284344
417,Chapais,5.0,2.24,CA,90,84,-74.86,49.78,1578284345
418,Vao,30.83,14.32,EE,100,95,26.19,59.1,1578283707
419,Iquique,73.4,5.82,CL,75,56,-70.14,-20.22,1578283907
420,Panguiranan,81.05,21.12,PH,19,80,123.32,12.07,1578284346
421,Clarence Town,81.0,14.99,AU,90,69,151.78,-32.59,1578284346
422,Kommunisticheskiy,12.15,6.13,RU,70,94,64.48,61.68,1578284346
423,Port Hueneme,62.6,12.75,US,1,27,-119.2,34.15,1578284347
424,Kant,26.6,8.95,KG,100,79,74.85,42.89,1578284347
425,Makakilo City,77.0,4.7,US,90,73,-158.09,21.35,1578284347
426,Nhulunbuy,91.4,14.99,AU,40,55,136.78,-12.18,1578284347
427,Lagoa,52.0,8.05,PT,0,81,-8.45,37.14,1578284347
428,Pavilosta,42.8,17.22,LV,100,100,21.19,56.89,1578284347
429,Lupiro,71.38,2.06,TZ,100,91,36.67,-8.39,1578284347
430,Radchenko,26.06,4.38,RU,82,94,36.37,56.68,1578284348
431,Waipawa,61.0,20.0,NZ,46,58,176.59,-39.94,1578284348
432,Tuatapere,48.99,24.0,NZ,100,88,167.69,-46.13,1578283696
433,Kaniama,65.46,1.5,CD,100,98,24.18,-7.57,1578284349
434,Manosque,44.01,3.27,FR,0,64,5.78,43.83,1578284350
435,Susangerd,42.8,2.24,IR,0,87,48.19,31.56,1578284350
436,Vestmanna,48.2,20.8,FO,100,100,-7.17,62.16,1578284350
437,Ogbomosho,71.01,2.17,NG,90,25,4.25,8.13,1578284351
438,Solnechnyy,8.24,2.37,RU,0,85,136.64,50.72,1578284351
439,Hailar,16.72,4.14,CN,100,95,119.7,49.2,1578284351
440,Cockburn Town,77.47,8.16,TC,2,68,-71.14,21.46,1578284196
441,Flinders,73.99,13.87,AU,100,77,150.85,-34.58,1578283701
442,Vieste,41.0,16.11,IT,5,38,16.18,41.88,1578284352
443,Ginir,61.47,3.09,ET,50,67,40.71,7.14,1578284352
444,Adrar,39.2,10.29,DZ,0,48,-0.29,27.87,1578284327
445,Banda Aceh,83.07,9.91,ID,54,63,95.32,5.56,1578284353
446,Auki,62.94,13.85,NG,58,28,6.51,12.18,1578283903
447,Kathu,75.74,5.44,ZA,0,15,23.05,-27.7,1578284353
448,Atar,51.82,7.54,MR,0,27,-13.05,20.52,1578284353
449,Sakaiminato,50.0,4.7,JP,75,53,133.23,35.55,1578284354
450,Srednekolymsk,-10.86,3.4,RU,28,84,153.71,67.46,1578284354
451,Rubiataba,68.43,4.18,BR,34,98,-49.8,-15.16,1578284354
452,Edson,28.4,12.75,CA,90,79,-116.44,53.59,1578283828
453,Cornwall,15.01,3.29,CA,1,85,-74.73,45.02,1578284195
454,Fare,82.47,10.85,PF,49,73,-151.02,-16.7,1578283792
455,Sao Jose da Coroa Grande,80.02,8.61,BR,100,78,-35.15,-8.9,1578284355
456,Mogadishu,80.58,17.67,SO,8,86,45.34,2.04,1578284301
457,Trairi,74.01,2.04,BR,72,91,-39.27,-3.28,1578284356
458,Shablykino,25.95,5.55,RU,0,79,35.2,52.85,1578284356
459,Raichur,70.66,9.08,IN,94,71,77.36,16.2,1578284356
460,Ancud,48.2,2.24,CL,0,93,-73.83,-41.87,1578284356
461,Alice Springs,75.2,5.82,AU,75,53,133.88,-23.7,1578284357
462,Broome,46.4,10.29,GB,3,87,1.45,52.47,1578283811
463,Salinopolis,82.08,10.85,BR,65,76,-47.36,-0.61,1578284357
464,Porto Novo,68.0,2.24,BR,75,94,-45.44,-23.68,1578284357
465,Tura,11.7,6.44,RU,100,89,100.22,64.27,1578283708
466,Zitiste,30.99,6.93,RS,0,79,20.55,45.48,1578284358
467,Miandoab,26.6,2.24,IR,90,100,46.1,36.97,1578284085
468,Socorro,48.99,3.36,US,1,45,-106.3,31.65,1578284359
469,San Jose,59.5,13.38,HN,10,81,-87.96,14.25,1578284359
470,Huitziltepec,60.01,1.86,MX,17,61,-99.48,17.76,1578284359
471,Sebeta,53.6,8.05,ET,20,76,38.62,8.91,1578284359
472,Silae,78.42,6.38,PH,83,73,125.3,8.16,1578284360
473,Bonavista,30.42,40.04,CA,100,96,-53.11,48.65,1578284360
474,Ust-Maya,-2.69,5.55,RU,100,97,134.54,60.42,1578283784
475,Arkhonskaya,14.0,4.47,RU,0,92,44.51,43.11,1578284360
476,Newcastle,75.99,14.99,AU,90,69,151.78,-32.93,1578283768
477,Uyemskiy,15.8,4.47,RU,75,92,40.85,64.47,1578284361
478,Ramotswa,68.0,4.7,BW,0,88,25.87,-24.87,1578284361
479,Ust-Tsilma,11.84,8.79,RU,100,92,52.15,65.44,1578284362
480,Martapura,87.8,5.82,ID,40,70,114.85,-3.41,1578284362
481,Xining,19.96,0.49,CN,100,50,101.77,36.62,1578284362
482,Balsas,73.4,2.8,BR,96,81,-46.04,-7.53,1578284363
483,Bastia,48.2,11.41,IT,0,57,8.98,44.6,1578284363
484,Emilio Carranza,69.22,2.13,MX,86,64,-96.61,19.97,1578284363
485,Seydi,58.86,10.58,NE,100,29,7.75,13.34,1578284364
486,Rize,46.4,6.93,TR,100,75,40.52,41.02,1578284364
487,Humberto de Campos,76.14,4.32,BR,99,92,-43.46,-2.6,1578284364
488,Lermontovka,10.35,0.63,RU,58,86,134.34,47.15,1578284364
489,Denizli,42.8,16.11,TR,75,75,29.09,37.77,1578284365
490,Poronaysk,24.53,17.22,RU,100,69,143.1,49.22,1578284365
491,Kilindoni,82.22,8.03,TZ,100,76,39.67,-7.91,1578284365
492,Sai Buri,84.2,5.82,TH,20,66,101.62,6.7,1578284365
493,Dentsville,44.01,8.05,US,1,60,-80.96,34.06,1578284366
494,Belfast,48.2,14.99,GB,92,76,-5.93,54.6,1578284366
495,Sayyan,51.84,1.59,YE,0,79,44.32,15.17,1578284366
496,Rzhev,22.96,4.52,RU,0,92,34.33,56.26,1578284366
497,Kholm-Zhirkovskiy,22.48,5.17,RU,0,93,33.47,55.52,1578284367
498,Ribeira Grande,60.04,16.71,PT,100,93,-28.7,38.52,1578284367
499,Astara,32.0,3.36,AZ,31,78,48.87,38.42,1578284367
500,Gorin,63.03,9.33,BF,65,28,-0.67,12.34,1578284368
501,Mareeba,91.0,9.17,AU,2,66,145.42,-16.99,1578284368
502,Katsuura,50.0,10.29,JP,75,46,134.5,33.93,1578284368
503,Labuhan,88.07,2.86,ID,100,59,115.51,-2.54,1578283903
504,Tessalit,52.03,12.28,ML,3,28,1.01,20.2,1578283799
505,Kupang,86.0,12.75,ID,90,79,123.6,-10.16,1578283704
506,Pinega,15.15,9.95,RU,99,93,43.39,64.7,1578284369
507,Mansa,62.6,9.17,IN,0,63,72.66,23.43,1578284370
508,Hami,22.86,1.16,CN,99,38,93.51,42.84,1578284371
509,Alta Floresta,68.29,2.04,BR,100,98,-56.08,-9.87,1578284371
510,Pangkalanbuun,89.33,2.93,ID,99,59,111.62,-2.68,1578284178
511,Isiolo,69.13,2.64,KE,100,75,37.58,0.35,1578284372
512,Iberia,71.13,1.83,PE,99,95,-69.49,-11.41,1578283877
513,Kamina,63.37,3.18,CD,100,97,25.0,-8.74,1578284373
514,Sioux Lookout,17.6,17.22,CA,90,72,-91.92,50.1,1578284373
515,Talnakh,19.4,26.84,RU,75,92,88.39,69.49,1578283774
516,Hirara,75.2,12.75,JP,40,60,125.28,24.8,1578284374
517,Kamenka,32.0,13.02,MD,100,82,28.7,48.03,1578284374
518,Flagstaff,41.0,5.82,US,1,68,-111.65,35.2,1578284374
519,Serdobsk,20.46,5.41,RU,69,94,44.21,52.46,1578284374
520,Pozo Colorado,79.14,5.44,PY,0,34,-58.8,-23.49,1578284375
521,Aksarka,11.55,11.97,RU,0,86,67.8,66.56,1578284375
522,Dali,35.91,4.18,CN,100,94,109.94,34.79,1578283814
523,Kirakira,83.91,12.17,SB,97,74,161.92,-10.46,1578284375
524,Batagay-Alyta,-22.56,4.38,RU,0,78,130.41,67.8,1578283783
525,Salalah,75.2,4.7,OM,75,78,54.1,17.01,1578283824
526,Anori,77.49,2.15,BR,6,74,-61.66,-3.74,1578284376
527,Olhao,52.0,8.05,PT,0,81,-7.84,37.03,1578284376
528,San Jose de Sisa,62.6,2.95,PE,20,100,-76.69,-6.62,1578284376
529,Savannah Bight,79.48,8.28,HN,95,77,-85.85,16.45,1578284377
530,Oum Hadjer,61.68,8.97,TD,33,29,19.7,13.3,1578284377
531,Svetlaya,23.79,10.94,RU,0,55,138.33,46.54,1578284377
532,Sabang,82.99,11.01,PH,5,74,121.11,13.8,1578284377
533,Barao de Melgaco,80.6,9.17,BR,40,74,-55.97,-16.19,1578284378
534,Presidencia Roque Saenz Pena,76.78,5.41,AR,0,32,-60.44,-26.79,1578284378
535,Kitgum,68.86,1.05,UG,0,65,32.88,3.3,1578284378
536,Kem,69.3,2.26,UG,0,61,33.77,2.68,1578284378
537,Oktyabrskoye,26.01,13.42,RU,90,85,85.44,56.73,1578284379
538,el Prat de Llobregat,48.0,13.87,ES,0,80,2.1,41.32,1578284379
539,San Luis,66.06,25.28,AR,62,53,-66.34,-33.3,1578284277
540,Bithur,55.4,2.24,IN,0,87,80.34,26.68,1578284380
541,Yaan,72.84,5.23,NG,100,23,8.57,7.38,1578284380
542,Jamkhed,66.16,11.9,IN,0,60,75.31,18.74,1578284381
543,Manjacaze,69.73,2.33,MZ,33,97,33.88,-24.71,1578284381
544,Guaruja,66.2,8.05,BR,100,88,-46.26,-23.99,1578283781
545,Batagay,-20.81,1.43,RU,50,87,134.64,67.65,1578284382
546,Cabras,57.0,2.53,CO,79,92,-75.6,5.5,1578284382
547,Yangjiang,73.99,9.78,CN,66,66,111.96,21.85,1578284382
